,Entity,Code,Year,Period life expectancy at birth - Sex: all - Age: 0
13655,No income group available,,2012,72.9778
13656,No income group available,,2013,73.1407
13657,No income group available,,2014,72.8098
13658,No income group available,,2015,72.965
13659,No income group available,,2016,72.0374
13660,No income group available,,2017,71.93
13661,No income group available,,2018,71.968
13662,No income group available,,2019,72.1525
13663,No income group available,,2020,71.1104
13664,No income group available,,2021,70.5838
19874,Upper-middle-income countries,,1950,45.9866
19875,Upper-middle-income countries,,1951,46.6703
19876,Upper-middle-income countries,,1952,47.5812
19877,Upper-middle-income countries,,1953,48.2579
19878,Upper-middle-income countries,,1954,49.0206
19879,Upper-middle-income countries,,1955,49.574
19880,Upper-middle-income countries,,1956,50.372
19881,Upper-middle-income countries,,1957,50.8491
19882,Upper-middle-income countries,,1958,51.4784
19883,Upper-middle-income countries,,1959,45.3681
19884,Upper-middle-income countries,,1960,41.0838
19885,Upper-middle-income countries,,1961,46.758
19886,Upper-middle-income countries,,1962,53.6107
19887,Upper-middle-income countries,,1963,54.1679
19888,Upper-middle-income countries,,1964,54.8319
19889,Upper-middle-income countries,,1965,55.4001
19890,Upper-middle-income countries,,1966,55.9843
19891,Upper-middle-income countries,,1967,56.5183
19892,Upper-middle-income countries,,1968,57.0733
19893,Upper-middle-income countries,,1969,57.5596
19894,Upper-middle-income countries,,1970,58.1817
19895,Upper-middle-income countries,,1971,59.0327
19896,Upper-middle-income countries,,1972,59.7078
19897,Upper-middle-income countries,,1973,60.4583
19898,Upper-middle-income countries,,1974,61.0615
19899,Upper-middle-income countries,,1975,61.5907
19900,Upper-middle-income countries,,1976,62.1925
19901,Upper-middle-income countries,,1977,62.7869
19902,Upper-middle-income countries,,1978,63.2952
19903,Upper-middle-income countries,,1979,63.769
19904,Upper-middle-income countries,,1980,64.2089
19905,Upper-middle-income countries,,1981,64.7087
19906,Upper-middle-income countries,,1982,65.157
19907,Upper-middle-income countries,,1983,65.5703
19908,Upper-middle-income countries,,1984,65.892
19909,Upper-middle-income countries,,1985,66.2766
19910,Upper-middle-income countries,,1986,66.8813
19911,Upper-middle-income countries,,1987,67.2097
19912,Upper-middle-income countries,,1988,67.4055
19913,Upper-middle-income countries,,1989,67.6853
19914,Upper-middle-income countries,,1990,67.8048
19915,Upper-middle-income countries,,1991,68.0001
19916,Upper-middle-income countries,,1992,68.2888
19917,Upper-middle-income countries,,1993,68.3463
19918,Upper-middle-income countries,,1994,68.5151
19919,Upper-middle-income countries,,1995,68.8939
19920,Upper-middle-income countries,,1996,69.2914
19921,Upper-middle-income countries,,1997,69.7025
19922,Upper-middle-income countries,,1998,70.1116
19923,Upper-middle-income countries,,1999,70.1696
19924,Upper-middle-income countries,,2000,70.4815
19925,Upper-middle-income countries,,2001,70.974
19926,Upper-middle-income countries,,2002,71.1787
19927,Upper-middle-income countries,,2003,71.43
19928,Upper-middle-income countries,,2004,71.7943
19929,Upper-middle-income countries,,2005,72.1125
19930,Upper-middle-income countries,,2006,72.5709
19931,Upper-middle-income countries,,2007,72.9095
19932,Upper-middle-income countries,,2008,73.1524
19933,Upper-middle-income countries,,2009,73.6355
19934,Upper-middle-income countries,,2010,73.9125
19935,Upper-middle-income countries,,2011,74.316
19936,Upper-middle-income countries,,2012,74.6621
19937,Upper-middle-income countries,,2013,74.9722
19938,Upper-middle-income countries,,2014,75.2509
19939,Upper-middle-income countries,,2015,75.4946
19940,Upper-middle-income countries,,2016,75.7177
19941,Upper-middle-income countries,,2017,75.9064
19942,Upper-middle-income countries,,2018,76.2589
19943,Upper-middle-income countries,,2019,76.4784
19944,Upper-middle-income countries,,2020,75.7449
19945,Upper-middle-income countries,,2021,75.2817
